(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),20,"以下哪項是使用曲軸(crank-up)塔時,要記住的重要安全規則?",(1) 這種類型的塔絕不能塗漆,(2) 這種類型的塔絕對不能接地,"(3) 除非它處於完全縮回的位置,否則絕不能攀爬這種類型的塔",(4) 以上皆是
(3),21,以下哪項是鐵塔正確接地的方法?,"(1) 一支1.3公尺的接地棒,從地面打到地基不超過30公分",(2) 一個鐵氧體磁環連接在塔和地面之間,"(3) 在鐵塔底部每個支撐點分別安裝2.7公尺長的接地棒,將每支接地棒都連接到鐵塔",(4) 將鐵塔基座和冷水管連接
(3),22,為什麼要避免將天線安裝到電線桿?,"(1) 由於感應電壓,天線不能正常工作",(2) 公用事業公司將向您收取額外的月費,(3) 天線會接觸到高壓電線,(4) 以上皆是
(3),23,"關於防雷所使用的接地導體,以下哪項是正確的?",(1) 只能使用非絕緣電線,(2) 必須用精確的直角彎曲的導線小心地佈線,(3) 導線避免過大的彎曲,(4) 必須避免共用接地
(3),24,"為防護雷擊在鐵塔安裝地線時,以下哪項是最佳做法?","(1) 在接地連接處安裝一個迴路,以防止水對地面系統造成損害",(2) 確保地線中的所有彎頭都是乾淨的、直角彎曲,(3) 確保接地線連接短而直接,(4) 以上皆是
(4),25,VHF和UHF無線電信號是什麼類型的輻射?,(1) 伽瑪輻射,(2) 游離輻射,(3) 阿爾法輻射,(4) 非游離輻射
(2),26,以下哪個頻率具有最大允許暴露限值的最低值?,(1) 3.5 百萬赫,(2) 50 百萬赫,(3) 440 百萬赫,(4) 1296 百萬赫
(3),27,"電臺在發射檢查評估之前,業餘無線電臺在VHF頻率下可以使用的最大功率是多少?",(1) 1500瓦特(PEP) 發射機輸出端,(2) 1瓦特的順向功率,(3) 25瓦特(PEP) 在天線端,(4) 50瓦特(PEP)的反射功率
(4),28,什麼因素會影響人員接近業餘電臺天線的電磁暴露(RF exposure)?,(1) 輻射場強的頻率和功率,(2) 從天線到人的距離,(3) 天線的輻射場型,(4) 以上皆是
(4),29,為什麼暴露限制隨頻率而變化?,(1) 較低頻率的射頻場強比較高頻率的射頻場強具有更多的能量,(2) 較低頻率的射頻場強不能穿透人體,"(3) 本質上,更高頻率的射頻場強是瞬態的",(4) 人體在某些頻率比其他頻率吸收更多的射頻能量
(2),30,如果有人意外觸摸了你發射中的天線會發生什麼?,(1) 觸摸天線可能會造成電視干擾,(2) 他們可能會受到射頻燒傷,(3) 他們可能會發生輻射中毒,(4) 以上皆是
(1),31,業餘無線電人員可採取以下哪些措施來防止射頻輻射超過我國的電磁暴露限制?,(1) 重新安置天線,(2) 重新安置發射機,(3) 增加工作週期,(4) 以上皆是
(2),32,如何確保您的電臺符合射頻安全規定?,(1) 通知NCC您的電臺進行的任何更改,"(2) 每當異動設備的元件時,重新評估電臺的射頻安全規定",(3) 確保天線系統是低駐波比,(4) 以上皆是
(1),33,為什麼工作週期是用來確定安全射頻輻射暴露限值的因素之一?,(1) 工作週期影響人們對輻射的暴露的平均值,(2) 工作週期影響人們對輻射的暴露的峰值,(3) 工作週期考慮到天線饋線損耗,(4) 工作週期考慮了放大器的熱效應
(3),34,射頻暴露平均時間內工作週期的定義是什麼?,(1) 發射機的最低功率輸出與最高功率輸出之間的差異,(2) 發射機的PEP和平均功率輸出之間的差異,(3) 發射機發射的時間百分比,(4) 發射機未發射的時間百分比
(1),35,射頻輻射與游離輻射(放射性)有什麼不同?,(1) 射頻輻射沒有足夠的能量來引起基因的損傷,(2) 射頻輻射只能用射頻計量計檢測,(3) 射頻輻射範圍限制在幾公尺,(4) 射頻輻射非常安全
(3),36,"當暴露的平均時間是6分鐘,如果信號在整個6分鐘內,出現3分鐘、消失3分鐘,則允許多少功率密度?",(1) 3倍,(2) 一樣多,(3) 2倍,(4) 不允許調整更短的暴露時間
