(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(3),80,下列哪種連接器 (Connector) 最常用於 UHF 頻段且損失較小？,(1) PL-259,(2) BNC,(3) N 型接頭,(4) RCA 接頭
(1),81,「假負載 (Dummy Load)」在測試時會發熱，這代表電能轉換成了？,(1) 熱能,(2) 光能,(3) 位能,(4) 聲能
(2),82,在數位通訊模式中，「Baud Rate」是指？,(1) 聲音的頻率,(2) 每秒傳送的符號數,(3) 電池的容量,(4) 天線的增益
(4),83,「Packet Radio」是一種利用什麼技術進行的通訊？,(1) 語音,(2) 電視,(3) 摩爾斯碼,(4) 分封交換數位技術
(3),84,無線電波的「折射」是指電波在不同介質界面發生？,(1) 反射回來,(2) 消失,(3) 傳播方向改變,(4) 頻率變倍
(1),85,「天波 (Sky Wave)」通訊主要是靠哪一層反射？,(1) 電離層,(2) 對流層,(3) 平流層,(4) 臭氧層
(2),86,「地波 (Ground Wave)」通訊在什麼頻段最為有效？,(1) 超高頻 (UHF),(2) 長波與中波 (LF/MF),(3) 極高頻 (VHF),(4) 微波
(4),87,視距通訊 (Line-of-Sight) 主要受限於？,(1) 雲層,(2) 太陽黑子,(3) 聲音大小,(4) 地球曲率與地形障礙
(1),88,什麼是「衰落 (Fading)」？,(1) 接收信號強度隨時間發生起伏的現象,(2) 機器沒電,(3) 頻率變準,(4) 聲音變好聽
(3),89,在 50MHz 頻段，偶爾出現的長距離傳播現象通常稱為？,(1) 流星餘跡,(2) 極光傳播,(3) 偶發 E 層傳播 (Sporadic E),(4) 月面反射
(2),90,「增益」的單位「dB」是？,(1) 絕對值單位,(2) 相對比例的對數單位,(3) 重量單位,(4) 長度單位
(1),91,若功率增加一倍，代表增加了多少 dB？,(1) 3 dB,(2) 6 dB,(3) 10 dB,(4) 20 dB
(3),92,若電壓增加一倍，代表增加了多少 dB？,(1) 3 dB,(2) 10 dB,(3) 6 dB,(4) 1 dB
(4),93,什麼是「截止頻率 (Cut-off frequency)」？,(1) 發射機壞掉的頻率,(2) 聲音最高頻,(3) 電池耗盡的頻率,(4) 濾波器開始大幅衰減訊號的臨界頻率
(2),94,在使用同軸電纜傳輸時，頻率越高，傳輸線的損耗會？,(1) 越小,(2) 越大,(3) 維持不變,(4) 消失
(1),95,「諧振 (Resonance)」是指電路在特定頻率下，電抗值為何？,(1) 抵消為零（純電阻性）,(2) 無窮大,(3) 負值,(4) 隨機變化
(3),96,調整天線長度使其與發射頻率相符，這個過程稱為？,(1) 放大,(2) 調變,(3) 諧振或調諧,(4) 衰減
(2),97,「陷波器 (Notch Filter)」的主要功能是？,(1) 讓所有頻率通過,(2) 針對性地大幅衰減某個特定頻率,(3) 增加低音,(4) 幫電池充電
(4),98,無線電機中的「微處理器 (CPU)」主要負責？,(1) 產生高功率射頻,(2) 接收天線訊號,(3) 焊接電路,(4) 控制頻率顯示、記憶頻道及使用者介面邏輯
(1),99,在 HF 接收機中，「雜訊抑制器 (Noise Blanker)」主要對付哪種雜訊？,(1) 脈衝式雜訊（如引擎火星塞干擾）,(2) 背景白雜訊,(3) 鄰頻語音,(4) 電視節目
(2),100,「RIT」功能在接收機中代表什麼？,(1) 增加功率,(2) 接收頻率微調（不影響發射頻率）,(3) 自動報時,(4) 錄音功能
(3),101,接收機中的「靜噪 (Squelch)」電路是根據什麼來決定是否開啟聲音？,(1) 語音的內容,(2) 電池電量,(3) 輸入訊號的強度或信噪比,(4) 環境溫度
(1),102,「VFO」代表什麼？,(1) 可變頻率振盪器,(2) 垂直頻率輸出,(3) 極高頻振盪器,(4) 音量調整器
(2),103,在 FM 發射機中，若調變過度 (Over-modulation) 會造成？,(1) 訊號變強,(2) 佔用頻寬過大並干擾鄰近頻道,(3) 省電,(4) 頻率變低
(4),104,什麼是「多徑傳播 (Multipath propagation)」？,(1) 只有一條路徑,(2) 電波在空中消失,(3) 電線太多,(4) 同一信號經由不同路徑抵達接收端產生的現象
(1),105,無線電波在對流層中因密度不均產生的傳播現象稱為？,(1) 對流層散射 (Tropospheric scatter),(2) 電離層反射,(3) 月面反射,(4) 地面波
(3),106,天線的「垂直輻射角度」較低時，通常有利於？,(1) 近距離通訊,(2) 聽收音機,(3) 遠距離 (DX) 通訊,(4) 增加噪音
(2),107,「2米波段」的頻率範圍大約是？,(1) 28-29.7 MHz,(2) 144-148 MHz,(3) 430-440 MHz,(4) 7.0-7.3 MHz
(4),108,「70公分波段」的頻率範圍大約是？,(1) 144-146 MHz,(2) 50-54 MHz,(3) 1.8-2.0 MHz,(4) 430-440 MHz
(1),109,下列何者是測量射頻功率的常用單位？,(1) dBm 或 瓦特,(2) 歐姆,(3) 攝氏,(4) 升
(3),110,「假負載」的阻抗應該是多少歐姆才能模擬標準業餘天線？,(1) 0 歐姆,(2) 75 歐姆,(3) 50 歐姆,(4) 300 歐姆
(2),111,在接收機中，「前置放大器 (Pre-amplifier)」應安裝在何處效果最好？,(1) 喇叭旁邊,(2) 儘可能靠近天線端,(3) 電源供應器內,(4) 麥克風內
(1),112,什麼是「數位訊號處理 (DSP)」？,(1) 利用數學運算對訊號進行過濾、降噪等處理技術,(2) 用手撥號,(3) 增加電池壽命,(4) 調整螢幕顏色
(4),113,「APRS」通訊系統主要結合了無線電與什麼技術？,(1) 電視,(2) 傳真,(3) 藍牙,(4) 全球定位系統 (GPS)
(2),114,無線電波的「波長」是指？,(1) 電線的厚度,(2) 電波在一個週期內傳播的距離,(3) 機器的高度,(4) 通訊的時間長短
(3),115,在 FM 接收機中，哪一個電路負責將射頻訊號還原成語音？,(1) 混頻器,(2) 振盪器,(3) 鑑頻器 (Discriminator) 或解調器,(4) 濾波器
(1),116,「平衡式調變器 (Balanced Modulator)」在 SSB 發射機中的作用是？,(1) 抑制載波產生雙側波帶訊號,(2) 增加音量,(3) 調整電壓,(4) 保護天線
(4),117,當兩台發射機頻率非常接近時，可能會在接收端產生？,(1) 音樂,(2) 拍頻 (Beat) 或干擾聲,(3) 頻率加倍,(4) 什麼都聽不見
(2),118,「電場」與「磁場」互相垂直交替產生，並向外傳播的現象稱為？,(1) 聲波,(2) 電磁波,(3) 水波,(4) 地震波
(1),119,下列何種材料最適合製作高頻電路的遮蔽盒？,(1) 鋁或銅等金屬,(2) 木頭,(3) 塑膠,(4) 玻璃
(3),120,發射機的「頻率穩定度」是指？,(1) 聲音的高低,(2) 功率的大小,(3) 發射頻率隨時間或溫度漂移的程度,(4) 天線的長度
(4),121,在業餘無線電中，「15米波段」是指？,(1) 14 MHz,(2) 7 MHz,(3) 28 MHz,(4) 21 MHz
(2),122,「電離層」的產生主要是受到什麼的照射？,(1) 月光,(2) 太陽紫外線與 X 射線,(3) 閃電,(4) 燈火
(1),123,「臨界頻率 (Critical Frequency)」是指電波能被電離層反射回來的？,(1) 最高垂直頻率,(2) 最低頻率,(3) 平均頻率,(4) 固定頻率
(3),124,在傳輸線中，損耗最小的是？,(1) 便宜的同軸電纜,(2) 細的同軸電纜,(3) 空氣絕緣的開放式平行線,(4) 電話線
(4),125,同軸電纜的「縮短率 (Velocity Factor)」是指？,(1) 導線變短的速度,(2) 機器運算速度,(3) 電磁波在電纜中與在真空中傳播速度的比值,(4) 減肥的速度
(2),126,天線的「頻寬」是指？,(1) 天線的重量範圍,(2) 天線能維持良好匹配（如 SWR<2.0）的作業頻率範圍,(3) 天線的高度範圍,(4) 價格範圍
(1),127,「地網」對垂直天線的作用是？,(1) 提供一個鏡像反射面以形成完整的偶極效果,(2) 收集雨水,(3) 增加天線重量,(4) 防止鳥類停留
(3),128,「J 型天線 (J-Pole)」是一種？,(1) 只有 J 等人員能用的天線,(2) 水平天線,(3) 饋電匹配的半波垂直天線,(4) 圓形天線
(4),129,使用「天線調諧器 (Antenna Tuner)」的主要目的是？,(1) 讓天線長度變長,(2) 增加太陽黑子,(3) 改變發射模式,(4) 使發射機看到的阻抗匹配，以保護發射機並傳送能量
(2),130,「線性放大器 (Linear Amplifier)」的主要特性是？,(1) 只能放大 FM,(2) 輸出訊號與輸入訊號成線性比例，不失真地放大訊號,(3) 體積非常小,(4) 不需要電源
(1),131,「諧振電路」是由哪些元件組成的？,(1) 電感器與電容器,(2) 電阻器與電池,(3) 開關與燈泡,(4) 喇叭與麥克風
(3),132,在 144MHz 頻段，若 SWR 為 2.0，發射機的保護電路可能會？,(1) 增加功率,(2) 發出警報音樂,(3) 開始自動降低輸出功率以保護機件,(4) 讓頻率加倍
(4),133,什麼是「雜散輻射 (Spurious Radiation)」？,(1) 正常的訊號,(2) 月亮的反射,(3) 太陽的熱能,(4) 除必要發射外的任何頻率輻射（如諧波、寄生發射）
(2),134,「Q 值 (Quality Factor)」在諧振電路中代表？,(1) 電池的品質,(2) 電路的選擇性或能量儲存效率,(3) 呼號的長度,(4) 聲音的好聽程度
(1),135,接收機的「鏡像頻率 (Image Frequency)」干擾是哪種接收機的特性？,(1) 超外差接收機,(2) 礦石收音機,(3) 數位接收機,(4) 所有接收機都沒有
(3),136,「RF Gain」控制的作用是？,(1) 調整螢幕顏色,(2) 調整發射功率,(3) 調整接收機射頻放大級的增益,(4) 調整鬧鐘時間
(2),137,在業餘衛星通訊中，使用「圓極化」天線的優點是？,(1) 天線比較美觀,(2) 減少因衛星自旋引起的信號衰落,(3) 省電,(4) 增加衛星壽命
(4),138,無線電波的「繞射 (Diffraction)」是指電波？,(1) 穿透牆壁,(2) 被反射回來,(3) 消失在空中,(4) 繞過障礙物邊緣繼續傳播的現象
(1),139,「D 層」電離層在晚上的狀態為何？,(1) 幾乎消失,(2) 變得最強,(3) 變成 F 層,(4) 變成紅色
(3),140,「40米波段」是指哪個頻率？,(1) 14 MHz,(2) 21 MHz,(3) 7 MHz,(4) 3.5 MHz
(2),141,「160米波段」是指哪個頻率？,(1) 3.5 MHz,(2) 1.8 MHz,(3) 7 MHz,(4) 144 MHz
(4),142,「80米波段」是指哪個頻率？,(1) 1.8 MHz,(2) 7 MHz,(3) 14 MHz,(4) 3.5 MHz
(1),143,「20米波段」是指哪個頻率？,(1) 14 MHz,(2) 21 MHz,(3) 28 MHz,(4) 7 MHz
(3),144,「6米波段」是指哪個頻率？,(1) 144 MHz,(2) 430 MHz,(3) 50 MHz,(4) 28 MHz
(2),145,「電磁感應」是誰發現的物理定律？,(1) 愛因斯坦,(2) 法拉第,(3) 牛頓,(4) 貝爾
(4),146,當頻率增加一倍，波長會？,(1) 增加一倍,(2) 不變,(3) 增加四倍,(4) 減為一半
(1),147,「變容二極體」在電路中常被用來？,(1) 調整頻率（當作可變電容）,(2) 發光,(3) 當作電池,(4) 放大聲音
(3),148,「齊納二極體 (Zener Diode)」常用於？,(1) 放大訊號,(2) 當作天線,(3) 電壓穩定（穩壓）,(4) 整流
(2),149,接收機中的「BFO」作用是為了接收哪種訊號？,(1) FM,(2) CW 或 SSB,(3) AM,(4) 電視
(4),150,「假負載」在測試結束後感覺燙手，是因為它把電能消耗在？,(1) 磁場,(2) 靜電,(3) 光能,(4) 熱能
(1),151,「電橋 (Bridge)」電路常用於測量？,(1) 阻抗、電感或電容,(2) 體重,(3) 濕度,(4) 風速
(3),152,同軸電纜中的「屏蔽網」主要作用是？,(1) 讓線變漂亮,(2) 增加抗拉強度,(3) 防止電磁能量洩漏並阻擋外界干擾,(4) 傳導直流電
(2),153,「1/4 波長整流管」可以當作？,(1) 電池,(2) 阻抗轉換器或陷波器,(3) 喇叭,(4) 天線支架
(1),154,發射機輸出端的「低通濾波器」能有效抑制？,(1) 高頻諧波干擾,(2) 低頻雜音,(3) 電源漣波,(4) 語音失真
(4),155,無線電波在「視距」之外還能傳播的原因不包括？,(1) 折射,(2) 繞射,(3) 電離層反射,(4) 光合作用
(2),156,「太陽黑子週期」大約是幾年？,(1) 1 年,(2) 11 年,(3) 50 年,(4) 100 年
(3),157,「MUF」代表什麼意思？,(1) 最小使用頻率,(2) 機器損壞頻率,(3) 最高可用頻率 (Maximum Usable Frequency),(4) 音量最大值
(1),158,什麼是「衰減器 (Attenuator)」？,(1) 降低訊號強度的裝置,(2) 增加功率的裝置,(3) 改變頻率的裝置,(4) 錄音機
(4),159,接收機的「動態範圍」是指？,(1) 體積大小,(2) 頻道數量,(3) 價格高低,(4) 能處理的最強訊號與最弱訊號之間的比值
(2),160,「PLL」鎖相迴路技術常用於？,(1) 調整天線高度,(2) 頻率合成與穩定,(3) 增加電池電量,(4) 美化聲音
(1),161,「三階互調產物 (IMD3)」在線性放大器中越低代表？,(1) 訊號越純淨，失真越小,(2) 功率越大,(3) 頻率越高,(4) 機器越熱
(3),162,當天線與阻抗不匹配時，傳輸線上的電壓分布會形成？,(1) 直線,(2) 圓圈,(3) 駐波,(4) 消失
(2),163,「分貝 (dB)」增加 10dB 代表功率增加？,(1) 2 倍,(2) 10 倍,(3) 100 倍,(4) 1.25 倍
(4),164,「分貝 (dB)」減少 3dB 代表功率變為？,(1) 1/10,(2) 1/4,(3) 0,(4) 1/2
(1),165,「信噪比 (S/N)」越高代表？,(1) 通訊品質越好，訊號明顯高於雜訊,(2) 雜訊太多,(3) 頻率太高,(4) 功率太小
(3),166,「微波」是指頻率在多少以上的電波？,(1) 1 MHz,(2) 30 MHz,(3) 1 GHz,(4) 10 Hz
(2),167,天線的「前向後比 (F/B ratio)」是指？,(1) 天線的前後長度比,(2) 主輻射方向與相反方向輻射強度的比值,(3) 價格比,(4) 機器重量比
(1),168,「垂直天線」的仰角通常比「水平天線」？,(1) 低,(2) 高,(3) 一樣,(4) 視天氣而定
(4),169,「陷波器」在重複頻率 (Repeater) 系統中的作用是？,(1) 增加音量,(2) 改變頻率,(3) 讓天線旋轉,(4) 抑制發射訊號進入接收機造成飽和
(2),170,「多頻段天線」是指？,(1) 顏色很多的天線,(2) 能在多個業餘頻段諧振的天線,(3) 很多人一起用的天線,(4) 能接收電視的天線
(3),171,「電解電容器」在使用時必須注意？,(1) 顏色,(2) 重量,(3) 正負極性不能接反,(4) 廠牌
(1),172,「積層電感」常用於？,(1) 高頻微型電路,(2) 抽水馬達,(3) 電燈泡,(4) 汽車引擎
(4),173,發射機的「寄生發射」主要來源不包括？,(1) 諧波,(2) 互調失真,(3) 電路振盪,(4) 正確的語音調變
(2),174,「窄頻 FM (NFM)」佔用的頻寬大約是多少？,(1) 100 kHz,(2) 12-16 kHz,(3) 1 MHz,(4) 1 Hz
(1),175,「相位 (Phase)」是指兩個相同頻率波形之間的？,(1) 時間或角度上的偏移,(2) 高度差,(3) 顏色差,(4) 速度差
(3),176,若兩個訊號「反相 (180度)」，疊加後會？,(1) 增加一倍,(2) 頻率加倍,(3) 互相抵消,(4) 變成直流電
(2),177,「同軸電纜」的內導體與外屏蔽網之間是什麼？,(1) 鐵絲,(2) 絕緣介質,(3) 空氣,(4) 水
(4),178,「雙金屬片」天線常用於？,(1) 潛水艇,(2) 飛機,(3) 增加阻抗,(4) 業餘無線電較少見，通常指特定材料組合
(1),179,「地電位」在電路設計中通常定義為？,(1) 0 伏特參考點,(2) 110 伏特,(3) 無窮大,(4) 隨機值
(3),180,「電感性抗 (Inductive Reactance)」隨頻率增加而？,(1) 減少,(2) 不變,(3) 增加,(4) 消失
(2),181,「電容性抗 (Capacitive Reactance)」隨頻率增加而？,(1) 增加,(2) 減少,(3) 不變,(4) 加倍
(1),182,無線電機中的「保險絲」是利用什麼原理工作的？,(1) 電流熱效應熔斷,(2) 磁場吸引,(3) 聲控,(4) 遙控
(4),183,「數位類比轉換器 (DAC)」的功能是？,(1) 把聲音變大,(2) 調整頻率,(3) 接收天線訊號,(4) 將數位碼轉換為連續的類比電壓訊號
