(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(4),56,從遠處接收VHF信號時可能發生以下哪種情況？,(1) 信號正從外太空反射,(2) 信號通過管道表面下層到達,(3) 信號被您所在地區的雷雨風暴反射,(4) 信號被不定時發生的E層折射
(2),57,通過極光反射收到的VHF信號有什麼特性?,"(1) 距離16,000公里以上的信號很常見",(2) 信號呈現強度的快速波動並且常常聲音失真,(3) 這些類型的信號僅在冬季夜間時發生,"(4) 天線朝西時,這類型的信號通常最強"
(4),58,"在10公尺、6公尺和2公尺頻帶,關於偶爾出現強烈的超視距(over-the-horizon)信號常見於以下哪種傳播類型?",(1) 後向散射,(2) 不定時發生的E層,(3) D層吸收,(4) 灰線傳播
(1),59,"雖然在電臺的發射和接收之間有障礙物的情況下,下列哪些效應可能導致無線電信號可以被聽到?",(1) 刀刃(Knife-edge)繞射,(2) 法拉第旋轉,(3) 量子隧道效應,(4) 杜卜勒頻移
(1),60,"在一般條件,什麼樣的模式可以使超視距(over-the-horizon)的VHF和UHF通信距離大約為480公里?",(1) 對流層散射,(2) D層折射,(3) F2層折射,(4) 法拉第旋轉
(2),61,哪個頻段最適合藉由流星散射進行通信?,(1) 10 公尺,(2) 6 公尺,(3) 2 公尺,(4) 70 公分
(4),62,對流層管道是如何形成?,(1) 雷電風暴中的閃電放電,(2) 太陽黑子和太陽耀斑,(3) 颱風和龍捲風所引起的上升氣流,(4) 大氣中的逆溫(Temperature inversion)
(1),63,長距離10公尺頻段藉由F層傳播的最佳時間為何?,"(1) 在高太陽黑子活動期間,從黎明到日落之後不久","(2) 在高太陽黑子活動期間,從日落後不久到黎明","(3) 在低太陽黑子活動期間,從黎明到日落後不久","(4) 在低太陽黑子活動期間,從日落後不久到黎明"
(1),64,什麼是無線電視界(horizon)?,(1) 兩個電臺可以通過直接路徑進行通信的距離,(2) 從地面到水平安裝天線的距離,(3) 在天線塔可以看到的最遠點,(4) 地球表面上兩點之間的最短距離
(3),65,為什麼VHF和UHF無線電信號傳播通常比兩個電臺之間的視距(line of sight)距離要遠一些?,(1) 無線電信號的移動速度比光速稍快,(2) 無線電波不會被灰塵顆粒堵塞,"(3) 以無線電波與光比,地球看起來彎曲程度比較小",(4) 無線電波會被灰塵顆粒堵塞
(1),66,"在太陽黑子週期的高峰期,以下哪個頻段可以提供長距離通信?",(1) 6 公尺,(2) 2 公尺,(3) 70 公分,(4) 以上皆是
(2),67,"關於業餘無線電收發機的麥克風連接器,下列哪一項為真?",(1) 所有的收發機都使用同一種連接器,(2) 某些連接器包含了按鍵通話(push-to-talk)及供電給麥克風的電壓,"(3) 所有的收發機使用相同形式的連接器,其接線方式均相同",(4) 無鎖接頭(Un-keyed connectors)允許任一款麥克風接用
(4),68,電腦如何用作為業餘無線電臺的一部分?,(1) 記錄通聯及其通聯資訊,(2) CW之收報或發報,(3) 數位信號產生及解碼,(4) 以上皆是
(1),69,通訊設備使用穩壓電源的原因為何?,(1) 可防止電壓波動傳達至敏感的電路,(2) 已獲得NCC認證的穩壓電源,(3) 保險絲及電路斷路器來調節電力,(4) 電力耗損與負載無關
(1),70,電臺在何處必須安裝濾波器以減少諧波發射?,(1) 發射機與天線之間,(2) 接收機與發射機之間,(3) 電臺之電源,(4) 麥克風
(1),71,"為了監看電臺天線系統的駐波比,請問SWR表要連結在哪裡?","(1) 在發射機及天線之間,用饋線串接之",(2) 與電臺的接地串接,(3) 將麥克風線平行於天線,"(4) 串接於電源供應器之電纜上,且儘量靠近收發機"
(3),72,"在封包無線電臺,下列何者會連接於發射機及電腦之間?",(1) 發射匹配器,(2) 混合器,(3) 終端節點控制器,(4) 天線
(3),73,"使用電腦操作數位通訊時,電腦的音效卡作用為何?",(1) 音效卡扮演著在電腦CPU與顯示器之間的溝通角色,(2) 音效卡是作為顯示器的音頻之收錄之用,"(3) 音效卡供給麥克風輸入之用,且將接收到的音訊轉化為數位形式",(4) 以上皆是
(4),74,哪種類型的導體最適於射頻接地?,(1) 圓形絞線,(2) 圓形包銅鋼線,(3) 雙絞線,(4) 平版帶(Flat strap)
(1),75,下列哪一種可用於現代收發機上來輸入工作頻率?,(1) 鍵盤或VFO(可變頻率振盪器)旋鈕,(2) CTSS或DTMF編碼器,(3) 自動頻率控制(The Automatic Frequency Control),(4) 以上皆是
(4),76,收發機上的制躁(squelch)控制鈕有何作用?,(1) 設定音量大小至最大,(2) 設定發射功率大小,(3) 用來調節自動增益控制,"(4) 在沒有接收到信號時,使接收機的輸出噪音靜音"
(2),77,"如何可以讓你輕易的在你的收發機上,使用喜好的頻率?",(1) 打開CTSS 音頻,(2) 將頻率儲存至記憶頻道,(3) 關閉CTSS 音頻,(4) 使用掃描模式去選擇想要用的頻率
(4),78,"如果單邊帶信號的音調太高或太低,可以使用下面哪一項控制設備來改善?",(1) 使用AGC 或 限制器,(2) 頻帶寬度選擇,(3) 音頻制噪(Tone Squelch),(4) 接收機的RIT或淨化器(clarifier)
(2),79,“ RIT ” 是什麼意思?,(1) 接收機的輸入音頻(Receiver Input Tone),(2) 接收機增量調整(Receiver Incremental Tuning),(3) 整流器倒向器試驗(Rectifier Inverter Test),(4) 遙控輸入發射機(Remote Input Transmitter)
(2),80,"在多模收發機上,有多重接收頻寬的選擇有甚麼好處?",(1) 一次可以監聽好幾個模式,"(2) 藉著選擇可匹配於該模式的頻寬,來降低噪音或干擾的程度",(3) 增加可以儲存於記憶體中的頻率數量,(4) 增加發射頻率及接收頻率間偏移的數量
(4),81,"如果您收到透過中繼電臺轉發的信號有音頻失真或無法解出的報告,可能會是什麼問題?",(1) 您的發射機可能會稍微偏離頻率,(2) 您的電池電量不足,(3) 您可能會處在一個信號不好的位置,(4) 以上皆是
(3),82,發射機或收發機中射頻負回饋的現象是什麼?,(1) 天線連接處的駐波比過大,(2) 發射機不會停留在所需的頻率上(發射頻偏),(3) 傳輸出現亂碼、失真或無法解出的報告,(4) 電源保險絲頻繁壞掉
(4),83,誰可以透過業餘衛星或太空站進行通信?,(1) 具有一等執照的業餘人員,(2) 具有衛星操作認證的二等執照或更高等級的業餘人員,(3) 具有一等執照的業餘人員同時也是業餘衛星協會的會員,(4) 其執照權限允許他們在衛星上行頻率上操作的任何業餘愛好者
(2),84,"在業餘衛星或太空站的上行鏈路頻率上操作時,應該使用多少發射功率?",(1) 發射機的最大功率,(2) 完成聯繫所需的最小功率,(3) 不超過線性放大器額定值的一半,(4) 從不超過1瓦特
(4),85,以下哪些內容是衛星追踪軟體可提供的項目?,(1) 地圖顯示衛星軌道在地球上的即時位置,(2) 開始的時間、方位角和高度；最大高度；結束的時間、方位角和高度,"(3) 衛星傳輸的確切頻率,包括杜卜勒位移的影響",(4) 以上皆是
(2),86,哪些業餘電臺可以使用2公尺和70公分頻段的業餘無線電頻率與國際太空站上的業餘電臺聯繫?,(1) 只有NASA設施的業餘無線電俱樂部的成員,(2) 持有三等或更高級別業餘無線電執照的業餘愛好者,(3) 只有火腿的太空人家屬,(4) 你不能在業餘無線電頻率上與國際太空站通話
(4),87,什麼是衛星示標?,(1) 衛星上的主發射天線,(2) 指示器燈光指向你的天線位置,(3) 衛星上的反射表面,(4) 來自太空站所發射的衛星示標信號
(2),88,以下哪項是衛星追踪軟體所需要輸入項目?,(1) 衛星的重量,(2) 克卜勒元素,(3) 最後觀察到的零杜卜勒位移時間,(4) 以上皆是
(3),89,縮寫LEO是關於業餘衛星的什麼訊息?,(1) 衛星電池處於低能耗工作(Low Energy Operation)模式,(2) 衛星正在執行月球彈射軌道(Lunar Ejection Orbit)移動,(3) 衛星處於低地球軌道(Low Earth Orbit),(4) 衛星使用發光二極管(Light Emitting Optics)
(3),90,向數位衛星發送信號和從數位衛星發送信號的常用方法是什麼?,(1) USB AFSK,(2) PSK31,(3) FM Packet,(4) WSJT
(2),91,使用以下哪種方法尋找隱藏的發射機?,(1) 經校正的SWR儀,(2) 定向天線,(3) 經校正雜訊電橋,(4) 以上皆是
(1),92,"在特定時間內,儘可能跟很多電臺通聯的流行操作活動是什麼?",(1) 比賽,(2) 空中網路操作,(3) 公眾服務活動,(4) 緊急災害演習
(3),93,"在無線電比賽中通聯另一個電臺時,以下哪一項是很好的程序?","(1) 如果有很多電臺搶著呼叫該電臺,應報自己呼號的最後兩個字母","(2) 呼叫該電臺兩次,以確定你的呼號確實登錄在他的通聯記錄中","(3) 為正確識別和比賽交換需要,只發送最少的必要信息",(4) 以上皆是
(1),94,什麼是網格定位器?,(1) 指定給地理位置的字母編號指示符號器,(2) 指定給方位角和仰角的字母編號指示符號器,(3) 用來中和後級放大器的儀器,(4) 無線電測向儀器
(2),95,"傳輸無線遙控信號到無線電機時,允許的最大功率是多少?",(1) 500 毫瓦特,(2) 1 瓦特,(3) 25 瓦特,(4) 1500 瓦特
(3),96,"業餘無線電臺在業餘無線電頻率發送信號時,須要標示什麼訊息以供識別?",(1) 每10分鐘必須發送一次語音識別,(2) 每小時必須發送一次摩爾斯電碼,(3) 必須在發射機標貼載有業餘無線人員的姓名、呼號和地址的標籤,(4) 在發射機天線必須貼上2.54公分高的字母或更大的電臺呼號的標誌
(4),97,以下哪一個是數據通信方法的例子?,(1) 封包通訊,(2) PSK31,(3) MFSK,(4) 以上皆是
(1),98,在業餘無線電數位傳輸的“APRS”是什麼的縮寫?,(1) Automatic Packet Reporting System,(2) Associated Public Radio Station,(3) Auto Planning Radio Set-up,(4) Advanced Polar Radio System
(4),99,"當從行動業餘無線電臺發送自動位置報告時,下列什麼設備提供數據給發射機?",(1) 車速表,(2) WWV接收機,(3) 連接到FM副載波接收機,(4) 全球定位系統接收機
(3),100,術語NTSC表示什麼類型的傳輸?,(1) 靜態電路中的正常傳輸模式,(2) 地球衛星上行鏈路的特殊模式,(3) 類比快速掃描彩色電視信號,(4) 電視信號的框架壓縮格式
(1),101,以下哪項是APRS(自動數據報告系統)的應用?,(1) 提供附有地圖以顯示電臺位置的即時數位通信,(2) 自動顯示在特定時間間隔內通過PACTOR傳輸的數據包數量,(3) 透過中繼電臺與網際網路連接提供語音通信,(4) 提供有關連接到中繼電臺的電臺數量的訊息
(2),102,PSK縮寫是什麼意思?,(1) 脈衝鍵控(Pulse Shift Keying),(2) 相移鍵控(Phase Shift Keying),(3) 封包短鍵控(Packet Short Keying),(4) 階段滑動鍵控(Phased Slide Keying)
(4),103,什麼是PSK31?,(1) 高速數據傳輸模式,(2) 減少對FM信號的雜訊干擾的方法,(3) 壓縮數位電視信號的方法,(4) 低速數據傳輸模式
(4),104,數據封包傳輸中可能包含以下哪些內容?,(1) 允許錯誤偵測檢查的校驗和(check sum),(2) 包含要發送信息的電臺呼號的標題,(3) 出現錯誤時自動重複請求,(4) 以上皆是
(4),105,在業餘頻帶發送CW時使用什麼代碼?,(1) Baudot,(2) 海明,(3) 國際摩爾斯,(4) 格雷
(4),106,"在業餘頻段,以下哪項可用於CW傳輸?",(1) 直鍵(Straight Key),(2) 電子鍵控器,(3) 電腦鍵盤,(4) 以上皆是
(3),107,什麼是ARQ傳輸系統?,(1) 限於視頻信號的特殊傳輸格式,(2) 用於加密業餘無線電衛星命令信號的系統,"(3) 當接收端偵測到錯誤時,會向發送端要求重發信息的數位方法","(4) 將資料壓縮在一則訊息的方法,可以在更短的時間內發送更多的信息"
(3),108,哪一個是波束(beam)天線?,(1) 由鋁製I-beam構成的天線,(2) 由Clarence Beam發明的全向天線,(3) 信號集中一個方向的天線,(4) 反轉接收信號相位的天線
(2),109,以下哪一項是正確的垂直天線?,(1) 磁場垂直於地球,(2) 電場垂直於地球,(3) 相位反向(inverted),(4) 相位反轉(reversed)
(2),110,以下哪一項描述是安裝的簡易偶極天線的導體平行於地球表面?,(1) 地波天線,(2) 水平極化天線,(3) 菱形天線,(4) 垂直極化天線
(1),111,大多數手持無線電設備的“橡皮”天線(rubber duck antenna)的缺點是什麼?,(1) 不像全尺寸天線那樣有效傳輸或接收,(2) 圓極化信號傳輸,"(3) 如果橡膠頂蓋脫落,它會很快散開",(4) 以上皆是
(3),112,如何改變偶極天線使其在更高的頻率上發生共振?,(1) 延長,(2) 將線圈與輻射線串聯,(3) 縮短,(4) 增加電容負載到輻射線的末端
(3),113,1/4、八木與碟盤天線是什麼類型的天線?,(1) 非共振天線,(2) 環形天線,(3) 指向天線,(4) 等向性天線
(1),114,不在車內使用“橡皮”天線(rubber duck antenna)的理由是什麼?,(1) 信號可能比在車外更弱,(2) 這可能會導致您的無線電設備過熱,"(3) 駐波比可能會減小,導致降低信號強度",(4) 以上皆是
(3),115,146百萬赫的四分之一波長垂直天線的近似長度(以公分為單位)是多少?,(1) 280,(2) 127,(3) 50,(4) 30
(3),116,6公尺1/2波長偶極天線的導線近似長度(以公分為單位)是多少?,(1) 15,(2) 127,(3) 284,(4) 600
(3),117,"在自由空間,1/2波長偶極天線的輻射最強的方向是那裡?",(1) 所有的方向皆相同,(2) 天線的兩個末端,(3) 天線的寬邊側(broadside),(4) 在饋線的方向
(3),118,什麼是天線的增益?,(1) 發射機電源所增加的額外功率,"(2) 在比較高頻率發射時,天線損失的額外功率","(3) 與參考天線相比,指定方向的信號強度的增加","(4) 與參考天線相比,接收或發射阻抗的增加"
(1),119,VHF/UHF行動服務使用正確安裝的5/8波長天線的理由是什麼?,"(1) 它比1/4波長天線提供更低的輻射角度和更多的增益天線,並提供更好的覆蓋範圍","(2) 它具有非常高的輻射角度,更適合透過中繼電臺使用",(3) 5/8波長天線完全消除反射信號引起的失真,(4) 5/8波長天線在1/4波長設計上提供10倍的功率增益
(3),120,為什麼VHF或UHF行動天線通常要安裝在車頂中央?,(1) 安裝車頂中央可有最低的駐波比,(2) 安裝車頂中央可以保證垂直極化信號,(3) 安裝車頂中央可以有最均勻的輻射方向,(4) 安裝車頂中央是最容易安裝的
(1),121,以下哪個描述為天線的加載類型?,"(1) 在天線的輻射部分加入電感器,使電氣特性變長","(2) 在天線的輻射部分加入電阻器,使天線諧振",(3) 在天線底部安裝彈簧以吸收與其他物體碰撞的影響,(4) 增加天線重量可以在移動時抵抗風的影響
(2),122,為什麼使用同軸電纜饋線天線系統的低駐波比很重要?,(1) 減少電視干擾,(2) 功率有效傳輸與減少損失,(3) 延長天線壽命,(4) 以上皆是
(2),123,業餘無線電設備最常用的同軸電纜的阻抗是多少?,(1) 8 歐姆,(2) 50 歐姆,(3) 600 歐姆,(4) 75 歐姆
(1),124,為什麼業餘無線電天線系統經常使用同軸電纜而不是任何其他饋線?,"(1) 可以方便使用,且可以應用於某些特殊的安裝需求",(2) 比其他類型的饋線損失少,(3) 可以處理比其他類型的饋線更多的功率,(4) 比其他類型的饋線便宜
(1),125,天線調諧器的用途是什麼?,(1) 將天線系統阻抗與收發機的輸出阻抗相匹配,(2) 有助於接收機自動調諧弱訊號電臺,(3) 允許天線使用在發送和接收,(4) 會自動為正在使用的頻段選擇合適的天線
(4),126,"當通過同軸電纜的信號頻率增加時,通常會如何?",(1) 駐波比增加,(2) 反射功率增加,(3) 特性阻抗增加,(4) 損失增加
(2),127,以下哪個連接頭最適合400百萬赫以上的頻率?,(1) UHF(PL-259 / SO-239)連接頭,(2) N型連接頭,(3) RS-213連接頭,(4) DB-25連接頭
(3),128,以下哪項對PL-259型同軸電纜連接器的描述是正確的?,(1) 微波操作的首選,(2) 防水,(3) 通常用於HF頻率,(4) 卡口式連接器
(1),129,為什麼暴露在空氣中的同軸電纜連接器應該密封防水?,(1) 防止饋線損失增加,(2) 防止對電話的干擾,(3) 防止護套變鬆,(4) 以上皆是
(2),130,什麼原因會導致駐波比讀數發生不穩定的變化?,(1) 發射機正在調變,(2) 天線或饋線的連接處鬆動,(3) 發射機過調變,(4) 其他電臺的干擾使你的信號失真
