(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(1),44,"電路接上12伏特電源有4安培電流通過,則其電阻多大?",(1) 3 歐姆,(2) 16 歐姆,(3) 48 歐姆,(4) 8 歐姆
(4),45,"電路接120伏特時有80歐姆的電阻,則通過的電流是多大?","(1) 9,600 安培",(2) 200 安培,(3) 0.667 安培,(4) 1.5 安培
(3),46,"100歐姆電阻器跨接在200伏特電壓,則通過的電流多大?","(1) 20,000 安培",(2) 0.5 安培,(3) 2 安培,(4) 100 安培
(3),47,"24歐姆的電阻器跨接在240伏特電壓,則通過的電流多大?","(1) 24,000 安培",(2) 0.1 安培,(3) 10 安培,(4) 216 安培
(1),48,"2歐姆電阻器通過0.5安培電流時,則電阻器二端的電壓是多少?",(1) 1 伏特,(2) 0.25 伏特,(3) 2.5 伏特,(4) 1.5 伏特
(2),49,"10歐姆電阻器通過1安培電流時,則電阻器二端的電壓是多少?",(1) 1 伏特,(2) 10 伏特,(3) 11 伏特,(4) 9 伏特
(4),50,"10歐姆電阻器通過2安培電流時,則電阻器二端的電壓是多少?",(1) 8 伏特,(2) 0.2 伏特,(3) 12 伏特,(4) 20 伏特
(2),51,"在直流電路中,使用什麼電子元件會阻止電流流動?",(1) 電感器,(2) 電阻器,(3) 電壓表,(4) 變壓器
(3),52,什麼類型的元件經常用作可調的音量控制?,(1) 固定電阻器,(2) 功率電阻器,(3) 電位計,(4) 變壓器
(2),53,什麼電氣參數由電位計控制?,(1) 感抗,(2) 阻抗,(3) 容抗,(4) 場強
(2),54,什麼電氣元件在電場中儲存能量?,(1) 電阻器,(2) 電容器,(3) 電感器,(4) 二極體
(4),55,什麼類型的電氣元件由兩個或多個由絕緣體隔開的導電表面組成?,(1) 電阻器,(2) 電位計,(3) 振盪器,(4) 電容器
(3),56,什麼類型的電氣元件在磁場中存儲能量?,(1) 電阻器,(2) 電容器,(3) 電感器,(4) 二極體
(4),57,什麼電氣元件通常由線圈組成?,(1) 開關,(2) 電容器,(3) 二極體,(4) 電感器
(2),58,什麼電氣元件用於連接或斷開電路?,(1) 磁控管,(2) 開關,(3) 熱敏電阻器,(4) 以上皆是
(1),59,什麼電氣元件用於保護其他電路元件免受電流過載?,(1) 保險絲,(2) 電容器,(3) 電感器,(4) 以上皆是
(4),60,以下哪種電池類型可充電?,(1) 鎳金屬氫化物,(2) 鋰離子,(3) 鉛酸凝膠電池,(4) 以上皆是
(2),61,以下哪種電池類型不可充電?,(1) 鎳鎘,(2) 碳鋅,(3) 鉛酸,(4) 鋰離子
(4),62,哪類電子元件能夠使用電壓或電流信號來控制電流?,(1) 電容器,(2) 電感器,(3) 電阻器,(4) 電晶體
(3),63,什麼電子元件允許電流僅在一個方向上流動?,(1) 電阻器,(2) 保險絲,(3) 二極體,(4) 被動元件
(3),64,哪些元件可以用作電子開關或放大器?,(1) 振盪器,(2) 電位計,(3) 電晶體,(4) 電壓表
(2),65,下列哪些元件可以由三層半導體材料製成?,(1) 交流發電機,(2) 電晶體,(3) 三極管,(4) 五極管
(1),66,以下哪個電子元件可以放大信號?,(1) 電晶體,(2) 可變電阻器,(3) 電解電容器,(4) 多節電池
(2),67,通常如何識別半導體二極體的陰極引線?,(1) 用陰極字,(2) 用條紋,(3) 用字母C,(4) 以上皆是
(2),68,縮寫LED代表什麼?,(1) 低發射二極體(Low Emission Diode),(2) 發光二極體(Light Emitting Diode),(3) 液體發射檢測器(Liquid Emission Detector),(4) 長迴聲延遲(Long Echo Delay)
(1),69,縮寫FET代表什麼?,(1) 場效應電晶體(Field Effect Transistor),(2) 快速電子電晶體(Fast Electron Transistor),(3) 自由電子躍遷(Free Electron Transition),(4) 場發射厚度(Field Emission Thickness)
(3),70,什麼是二極體的兩個電極的名稱?,(1) 加號和減號,(2) 源極和汲極,(3) 陽極和陰極,(4) 閘極和基極
(1),71,PNP或NPN電晶體的三個電極是什麼?,(1) 射極、基極和集極,(2) 源極、閘極和汲極,(3) 陰極、柵極和屏極,(4) 陰極、漂移腔和集極
(2),72,什麼是場效應電晶體的三個電極?,(1) 射極、基極和集極,(2) 源極、閘極和汲極,(3) 陰極、柵極和屏極,(4) 陰極、閘極和陽極
(1),73,描述電晶體放大信號能力的術語是什麼?,(1) 增益,(2) 順向阻抗,(3) 順向壓降,(4) 阻抗
(3),74,"電氣接線圖中,元件標準化表示的名稱是什麼?",(1) 電氣描述,(2) 灰色素描,(3) 原理圖符號,(4) 元件標註
(1),75,圖T-1中的元件1是什麼?,(1) 電阻器,(2) 電晶體,(3) 電池,(4) 連接器
(2),76,圖T-1中的元件2是什麼?,(1) 電阻器,(2) 電晶體,(3) 指示燈,(4) 連接器
(3),77,圖T-1中的元件3是什麼?,(1) 電阻器,(2) 電晶體,(3) 燈,(4) 接地符號
(3),78,圖T-1中的元件4是什麼?,(1) 電阻器,(2) 電晶體,(3) 電池,(4) 接地符號
(2),79,圖T-2中的元件6是什麼?,(1) 電阻器,(2) 電容器,(3) 調節器IC,(4) 電晶體
(4),80,圖T-2中的元件8是什麼?,(1) 電阻器,(2) 電感器,(3) 調節器IC,(4) 發光二極管
(3),81,圖T-2中的元件9是什麼?,(1) 可變電容器,(2) 可變電感器,(3) 可變電阻器,(4) 可變變壓器
(4),82,圖T-2中的元件4是什麼?,(1) 可變電感器,(2) 雙極開關,(3) 電位器,(4) 變壓器
(4),83,圖T-3中的元件3是什麼?,(1) 連接器,(2) 電表,(3) 可變電容器,(4) 可變電感器
(1),84,圖T-3中的元件4是什麼?,(1) 天線,(2) 發射機,(3) 假負載,(4) 接地
(1),85,電路圖上的符號代表什麼?,(1) 電氣元件,(2) 邏輯狀態,(3) 數字代碼,(4) 交通節點
(2),86,電路圖中的元件符號準確地表示了以下哪項?,(1) 電線長度,(2) 元件的物理外觀,(3) 元件的連接,(4) 以上皆是
(2),87,下列哪種設備或電路改變交流電成不同的直流信號?,(1) 變壓器,(2) 整流器,(3) 放大器,(4) 反射器
(1),88,什麼最能描述繼電器?,(1) 由電磁鐵控制的開關,(2) 電流控制放大器,(3) 光學感應器,(4) 傳輸電晶體
(1),89,圖T-2中元件3代表什麼類型的開關?,(1) 單刀單擲,(2) 單刀雙擲,(3) 雙刀單擲,(4) 雙刀雙擲
(3),90,以下哪項被用在數字刻度上顯示信號強度?,(1) 電位計,(2) 電晶體,(3) 電表,(4) 繼電器
(1),91,什麼類型的電路控制的電壓量來自電源?,(1) 調節器,(2) 振盪器,(3) 過濾器,(4) 反向器
(2),92,通常使用什麼元件將交流120伏特電流轉換為較低的交流電壓以用於其他用途?,(1) 可變電容器,(2) 變壓器,(3) 電晶體,(4) 二極體
(1),93,以下哪項通常被用作視覺指示器?,(1) 發光二極體,(2) 場效應電晶體,(3) 齊納二極體,(4) 雙極電晶體
(4),94,以下哪一項與電感器一起用來製作調諧電路?,(1) 電阻器,(2) 齊納二極體,(3) 電位計,(4) 電容器
(3),95,什麼是結合了許多半導體和其他設備到一個包裝的設備名稱?,(1) 傳感器,(2) 多極繼電器,(3) 積體電路,(4) 變壓器
(3),96,圖T-1中元件2的功能是什麼?,(1) 當電流流過發光,(2) 提供電能,(3) 控制電流的流動,(4) 將電能轉換成無線電波
(1),97,什麼是簡單的諧振或調諧電路?,(1) 串聯或並聯形成濾波器的電感器和電容器,(2) 電壓調節器,(3) 用於降低駐波比的電阻電路,(4) 設計用於提供高傳真音頻的電路
(2),98,以下哪個專有名詞是描述接收機檢知信號存在的能力?,(1) 線性,(2) 靈敏度,(3) 選擇性,(4) 總諧波失真
(2),99,什麼是收發機?,(1) 天線開關的類型,(2) 發射機和接收機的組合單元,(3) 中繼電臺濾除不必要干擾的元件,(4) 天線匹配網路的類型
(2),100,以下哪一個是將無線電信號從一個頻率轉換為另一個?,(1) 分相器,(2) 混頻器,(3) 倒向器,(4) 放大器
(3),101,以下哪個專有名詞是描述接收機解析多組信號的能力,(1) 解析度,(2) 靈敏度,(3) 選擇性,(4) 諧波失真
(4),102,什麼是產生所要頻率的信號的電路名稱?,(1) 電抗器,(2) 乘積檢波器,(3) 低通濾波器,(4) 振盪器
(3),103,什麼設備會將低功率28 MHz SSB激發器的輸出產生222 MHz輸出信號?,(1) 高通濾波器,(2) 低通濾波器,(3) 變頻器,(4) 相位轉換器
(4),104,“PTT”是什麼意思?,(1) 預發射調諧以減少發射機諧波發射,(2) 使用精確的音頻傳輸讓中繼器只能接受某些信號,(3) 用於匹配天線的主變壓調諧器,(4) 在接收和發送之間切換的按鍵通話功能
(3),105,以下哪個專有名詞是描述將語音與射頻載波信號相結合?,(1) 阻抗匹配,(2) 振盪,(3) 調變,(4) 低通濾波
(2),106,以下哪種設備是對於VHF弱信號通信最有用?,(1) 四分之一波長垂直天線,(2) 多種模式的VHF收發機,(3) 全向性天線,(4) 行動式VHF FM收發機
(2),107,什麼設備增加了手持式收發機的低功率輸出?,(1) 分壓器,(2) 射頻功率放大器,(3) 阻抗網路,(4) 以上皆是
(1),108,RF前置放大器應該安裝在哪裡?,(1) 在天線和接收機之間,(2) 在發射機功率放大器的輸出端,(3) 發射機和天線調諧器之間,(4) 在接收機的音頻輸出端
(1),109,假負載的主要用途是什麼?,(1) 防止測試時的信號輻射,(2) 防止發射機過調變,(3) 改善天線的輻射,(4) 提高接收機的雜訊比
(2),110,以下哪種儀器可用於確定天線是否諧振在所需的工作頻率?,(1) 真空管電壓計(VTVM),(2) 天線分析儀,(3) Q分析儀,(4) 頻率計數器
(1),111,"一般來說,駐波比(SWR)是什麼?",(1) 衡量負載與傳輸線相匹配情形,(2) 饋線中高阻抗與低阻抗的比率,(3) 發射機效率比,(4) 顯示您的電臺接地質量
(3),112,"在SWR儀表上什麼讀數,表示天線和饋線之間的阻抗完美匹配?",(1) 02:01,(2) 01:03,(3) 01:01,(4) 10:01
(1),113,多數發射機中的保護電路開始降低發射機功率的近似SWR值是多少?,(1) 02:01,(2) 01:02,(3) 06:01,(4) 10:01
(4),114,SWR讀數4:1代表什麼意義?,(1) 損失-4dB,(2) 良好的阻抗匹配,(3) 增益為+ 4dB,(4) 阻抗不匹配
(3),115,饋線的電力損耗會發生什麼事?,(1) 增加SWR,(2) 會反射回到您的發射機並可能導致損壞,(3) 被轉化成熱量,(4) 可能會導致信號失真
(4),116,"除了SWR儀表外,您可以使用什麼儀器來確定饋線和天線是否正確匹配?",(1) 電壓表,(2) 歐姆表,(3) 音聲調諧器,(4) 方向功率表
(1),117,以下哪項是同軸電纜故障的最常見原因?,(1) 受潮,(2) 伽馬射線,(3) 速度係數超過1.0,(4) 超載
(4),118,為什麼同軸電纜的外皮要抗紫外線?,(1) 防紫外線外皮可防止諧波輻射,(2) 紫外線會增加電纜外皮的損耗,(3) 紫外線和射頻信號可以混合在一起而造成干擾,(4) 紫外線會損壞外皮並讓水進入電纜
(3),119,"與泡棉或固體介質類型同軸電纜相比,空氣絶緣同軸電纜的缺點是什麼?",(1) 每公尺損失更多,(2) 不能用於VHF或UHF天線,(3) 需要特殊的技術來防止進水,(4) 不能在低於冰點的溫度下使用
(2),120,以下哪一種是同軸電纜的常見用途?,(1) 傳送從車用電池到行動無線電臺的直流電,(2) 在無線電收發機和天線之間傳送射頻信號,(3) 在塔上固定桅杆、管道和其他圓柱形物體,(4) 連接從終端節點控制器(TNC)到電腦的數據信號
(2),121,假負載由什麼組成?,(1) 高增益放大器和TR開關,(2) 無感電阻器和散熱器,(3) 低壓電源供應器和直流繼電器,(4) 用於終止傳輸線的50歐姆電抗
(2),122,哪種儀器用於測量電位或電動勢(EMF)?,(1) 電流表,(2) 電壓表,(3) 波長表,(4) 歐姆表
(2),123,將電壓表連接到電路的正確方法是什麼?,(1) 與電路串聯,(2) 與電路並聯,(3) 與電路正交,(4) 與電路同相
(1),124,電流表通常如何連接到電路?,(1) 與電路串聯,(2) 與電路並聯,(3) 與電路正交,(4) 與電路同相
(4),125,哪種儀器用於測量電流?,(1) 歐姆表,(2) 波長表,(3) 電壓表,(4) 電流表
(4),126,哪種儀器用於測量電阻?,(1) 示波器,(2) 頻譜分析儀,(3) 雜訊電橋儀,(4) 歐姆表
(3),127,以下哪項可能會損壞萬用表?,(1) 選擇範圍而言測量的電壓很小,(2) 將儀表選項放置在量測毫安的項目整個晚上,(3) 嘗試選擇電阻選項來測量電壓,(4) 使用前不熱機
(4),128,通常使用萬用表測量以下哪些項目?,(1) 駐波比和發射功率,(2) 信號強度和雜訊,(3) 阻抗和電抗,(4) 電壓和電阻
(3),129,以下哪種材料最適合無線電收發機和電子焊接使用?,(1) 酸性焊劑,(2) 銀焊劑,(3) 松香劑,(4) 鋁焊劑
(3),130,冷焊的特徵是什麼?,(1) 深黑色斑點,(2) 明亮或有光澤的表面,(3) 粒狀或無光澤的表面,(4) 綠色的色調
(2),131,"當歐姆表連接在無供電的電路上時,什麼原因導致剛開始歐姆表量測的電阻值較低,隨著時間的增長電阻值會增加?",(1) 歐姆表故障有問題,(2) 電路中有一個大電容,(3) 電路中有一個大電感,(4) 這是一個弛緩振盪器電路
(3),132,以下哪一種是振幅調變的形式?,(1) 展頻,(2) 數據無線電,(3) 單邊帶,(4) 相位偏移調變
(1),133,什麼類型的調變最常用於VHF數據無線電模式?,(1) 調頻,(2) 單邊帶,(3) 振幅調變,(4) 展頻
(3),134,哪種類型的語音模式最常用於VHF和UHF頻段的長距離通訊(弱信號)?,(1) 調頻,(2) 數位無線廣播(DRM),(3) 單邊帶,(4) 相位偏移調變
(4),135,哪種類型的調變最常用於VHF和UHF語音中繼電臺?,(1) 振幅調變,(2) 單邊帶,(3) 相位偏移調變,(4) 調頻
(3),136,以下哪種發射類型的頻寬最窄?,(1) 調頻語音,(2) 單邊帶語音,(3) 電報,(4) 慢速掃瞄電視
(1),137,哪種邊帶通常用於10公尺HF、VHF和UHF單邊帶通信?,(1) 上邊帶,(2) 下邊帶,(3) 抑制邊帶,(4) 倒轉邊帶
(3),138,語音通訊使用單邊帶比FM好的原因是什麼?,(1) 單邊帶信號更容易調諧,(2) 單邊帶信號不易受干擾,(3) 單邊帶信號具有較窄的帶寬,(4) 以上皆是
(2),139,單邊帶語音信號的頻寬大概是多少?,(1) 1 千赫,(2) 3 千赫,(3) 6 千赫,(4) 15 千赫
(3),140,VHF 中繼電臺調頻語音信號的頻寬是多少?,(1) 低於500 赫,(2) 大約150 千赫,(3) 在10和15 千赫之間,(4) 在50和125 千赫之間
(2),141,"在70公分頻帶,類比快速掃描電視傳輸的典型頻寬是多少?",(1) 超過10 百萬赫,(2) 大約6 百萬赫,(3) 大約3 百萬赫,(4) 大約1 百萬赫
(2),142,發送CW信號所需的最大頻寬是多少?,(1) 2.4 千赫,(2) 150 赫,(3) 1 千赫,(4) 15 千赫
(3),143,"關於衛星通信,什麼是杜卜勒位移?",(1) 衛星軌道的變化,(2) 衛星在一個頻段上接收信號並在另一個頻段上發射的模式,(3) 衛星和地球電臺之間的相對運動引起的信號頻率變化,(4) 某些衞星使用的特殊數位通信模式
(2),144,衛星在U / V模式下運行的說法是什麼意思?,"(1) 衛星上行鏈路在15公尺波段,下行鏈路在10公尺波段","(2) 衛星上行鏈路在70公分波段,下行鏈路在2公尺波段",(3) 衛星運行使用紫外線頻率,(4) 衛星頻率通常是可變的
(2),145,"接收衛星信號時,會引起自旋衰落的原因是什麼?",(1) 來自太陽輻射的圓極化雜訊干擾,(2) 衛星及其天線的旋轉,(3) 接收信號的杜卜勒位移效應,(4) 在衛星上行鏈路頻帶內干擾信號
