(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(1),55,"如果中繼電臺無意中重送違反NCC規定的通信,誰應負責?",(1) 來源電臺的控制員,(2) 中繼電臺的控制員,(3) 中繼電臺的所有者,(4) 來源電臺和中繼電臺的所有者
(2),56,何時電臺持有者必須將其電臺及紀錄提供給NCC檢查?,(1) 在NCC通知此類檢查後十天內的任何時間,(2) 應NCC的要求,(3) 只有在未遵守NCC違規通知後,(4) 只有在獲得NCC官員或政府代理的有效授權書時才能提供
(3),57,什麼情形才可以從事業餘無線電作業?,"(1) 只須經主管機關測試及格,不須取得業餘無線電人員執照","(2) 不須經主管機關測試及格,亦不須取得業餘無線電人員執照","(3) 須經主管機關測試及格,並取得業餘無線電人員執照","(4) 不須經主管機關測試及格,只須取得業餘無線電人員執照"
(4),58,"取得業餘無線電人員執照後,可以做下列什麼操作?",(1) 即可用於卡車行車調度之用,(2) 即可用於客運車行車調度之用,(3) 即可用於遊覽車行車調度之用,(4) 以上皆非
(4),59,"運輸業(含客運車、砂石車、遊覽車等)司機或隨車人員考取業餘無線電人員執照,亦不得於車上做行車業務使用,違反規定者,依電信管理法第 82 條第 1 項第 5 款規定處的罰鍰為新臺幣 1 萬元以上、多少元以下?",(1) 3 萬元,(2) 5 萬元,(3) 7 萬元,(4) 10 萬元
(3),60,下列頻段何者為三等業餘無線電人員可以使用頻率範圍,(1) 138-140 百萬赫,(2) 140-142 百萬赫,(3) 144-146 百萬赫,(4) 154-156 百萬赫
(2),61,下列頻段何者為三等業餘無線電人員可以使用頻率範圍,(1) 420-422 百萬赫,(2) 430-440 百萬赫,(3) 440-442 百萬赫,(4) 450-452 百萬赫
(4),62,外國人欲於中華民國領域內從事業餘無線電作業的途徑有,"(1) 已取得國外業餘無線電人員執照,依業餘無線電人員及電臺管理辦法第四十條規定辦理","(2) 經我國業餘無線電人員測試及格,並取得業餘無線電人員執照,得借用具業餘無線電臺執照之業餘無線電臺操作使用","(3) 取得我國居留權及業餘無線電人員執照,得逕向主管機關申設業餘無線電臺,經審驗合格,取得電臺執照後",(4) 以上皆是
(3),63,業餘無線電人員從事業餘無線電活動時,"(1) 因屬業餘性質,可任意為之",(2) 只須維持自身的合法性,(3) 應本互相尊重之精神共同監督之,"(4) 只須互相尊重,不須共同監督"
(3),64,我國業餘無線電人員資格分為,(1) 不分等級,(2) 二個等級,(3) 三個等級,(4) 一個等級
(4),65,那一等級之業餘無線電人員測試須進行摩氏電碼術科測試,(1) 都需要測試,(2) 二等業餘無線電人員,(3) 三等業餘無線電人員,(4) 都不需要測試
(4),66,"一等業餘無線電人員測試題組為無線電規章與相關法規 13 題、無線電通訊方法 15 題、無線電系統原理 15 題、無線電相關安全防護 3 題、電磁相容性技術 2 題、射頻干擾的預防與排除 2 題,共計 50 題,測試及格至少應答對多少題?",(1) 15 題,(2) 32 題,(3) 25 題,(4) 40 題
(1),67,"二等業餘無線電人員測試題組為無線電規章與相關法規 12 題、無線電通訊方法 12 題、無線電系統原理 10 題、無線電相關安全防護 2 題、電磁相容性技術 2 題、射頻干擾的預防與排除 2 題,共計 40 題,要測試及格至少應答對多少題?",(1) 32 題,(2) 15 題,(3) 25 題,(4) 10 題
(3),68,"三等業餘無線電人員測試題組為無線電規章與相關法規 13 題、無線電通訊方法 13 題、無線電系統原理 6 題、無線電相關安全防護 1 題、電磁相容性技術 1 題、射頻干擾的預防與排除 1 題,共計 35 題,要測試及格至少應答對多少題?",(1) 10 題,(2) 15 題,(3) 25 題,(4) 20 題
(3),69,"業餘無線電人員自測試及格日起,多久以內向主管機關申請業餘無線電人員執照",(1) 一星期,(2) 一個月,(3) 十年,(4) 三年
(1),70,參加一等業餘無線電人員測試之條件為何?,"(1) 持有二等業餘無線電人員執照且設置二等業餘無線電臺達一年以上,同時業餘無線電人員及電臺執照均需在有效期間內。",(2) 持有三等業餘無線電人員執照且設置三等業餘無線電臺達一年以上者,(3) 持有二等業餘無線電人員執照且設置三等業餘無線電臺達一年以上者,(4) 持有三等業餘無線電人員執照且設置三等業餘無線電臺達二年以上者
(3),71,"業餘無線電人員測試及格後,要向誰申請核發業餘無線電人員執照?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 主管機關,(4) 內政部
(2),72,"業餘無線電人員參加業餘無線電人員二等測試及格,可以申請那一等級的業餘無線電人員執照?",(1) 不能申請,(2) 二等,(3) 三等,(4) 一等
(3),73,"非業餘無線電人員參加業餘無線電人員測試及格,可以申請那一等級的業餘無線電人員執照?",(1) 不能申請,(2) 二等,(3) 三等,(4) 一等
(1),74,"二等業餘無線電人員要參加一等業餘無線電人員測試時,其二等業餘無線電臺設置已達具備",(1) 一年以上,(2) 一年以下,(3) 六個月以下,(4) 三個月以下
(1),75,"王大明在未取得業餘無線電人員執照下,參加二等業餘無線電人員測試及格後,發現先前三等業餘無線電人員測試及格已超過十年,他可以申請什麼業餘無線電人員執照?",(1) 不能申請,(2) 二等,(3) 三等,(4) 一等
(3),76,"王大明在未取得業餘無線電人員執照下,參加二等業餘無線電人員測試不及格,發現先前三等業餘無線電人員測試及格仍在十年內,他可以申請什麼業餘無線電人員執照?",(1) 不能申請,(2) 二等,(3) 三等,(4) 一等
(1),77,業餘無線電人員執照有效期間為,(1) 十年,(2) 三年,(3) 五年,(4) 七年
(1),78,一人可同時持有幾張業餘無線電人員執照,(1) 一張,(2) 二張,(3) 三張,(4) 四張
(3),79,"業餘無線電人員執照有效期間為十年,應於期限屆滿前六個月起五個月內向誰申請換發執照?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 國家通訊傳播委員會,(4) 內政部
(2),80,業餘無線電團體指,"(1) 依電信管理法成立,從事業餘無線電活動之團體","(2) 依人民團體法成立,從事業餘無線電活動之團體","(3) 依廣電法成立,從事業餘無線電活動之團體","(4) 依有線電視法規定成立,從事業餘無線電活動之團體"
(4),81,業餘無線電機係屬,(1) 低功率射頻無線電機,(2) 電信終端設備,(3) PHS(數位式低功率無線電話),(4) 電信管制射頻器材
(1),82,業餘無線電人員及電臺管理辦法所規範之輻射指,(1) 以無線電磁波形式向外流動之能量,(2) 以高能量粒子形式向外發射之能量,(3) 以熱能形式向外流動之能量,(4) 以核能形式向外發射之能量
(3),83,業餘無線電人員及電臺管理辦法所規範之發射指,(1) 以光波形式向外流動之能量,(2) 以高能量粒子形式向外發射之能量,(3) 由無線電臺所產生之輻射或其輻射產物,(4) 以熱能形式向外流動之能量
(4),84,業餘無線電人員及電臺管理辦法所定義之發射機為,(1) 可發射任何物質之機器,(2) 可發射光線之機器,(3) 可發射火箭之機器,(4) 具有將電能轉換為電磁輻射能輸出之機器
(4),85,一等業餘無線電人員得申請設置,(1) 船舶無線電臺,(2) 三等業餘電臺,(3) 二等或三等業餘電臺,(4) 一等、二等或三等業餘電臺
(3),86,二等業餘無線電人員得申請設置,(1) 船舶無線電臺,(2) 一等業餘電臺,(3) 二等或三等業餘電臺,(4) 一等、二等或三等業餘電臺
(2),87,三等業餘無線電人員得申請設置,(1) 船舶無線電臺,(2) 三等業餘電臺,(3) 二等或三等業餘電臺,(4) 廣播電臺
(4),88,某未取得業餘無線電人員執照之軍中報務士,(1) 得申請設置三等業餘電臺,(2) 得申請設置二等或三等業餘電臺,(3) 得申請設置一等、二等或三等業餘電臺,(4) 不得申設業餘無線電臺
(4),89,軍中報務士可以申請換發那等級的業餘無線電人員執照?,(1) 一等,(2) 二等,(3) 三等,(4) 不得申請
(4),90,某未取得業餘無線電人員執照之高級電信工程人員,(1) 得申請設置三等業餘電臺,(2) 得申請設置二等或三等業餘電臺,(3) 得申請設置一等、二等或三等業餘電臺,(4) 不得申設業餘無線電臺
(4),91,高級電信工程人員執照可以申請換發那等級的業餘無線電人員執照?,(1) 一等,(2) 二等,(3) 三等,(4) 不得申請
(4),92,持有漁船無線電對講機執照可以申請換發那等級的業餘無線電人員執照?,(1) 一等,(2) 二等,(3) 三等,(4) 不得申請
(1),93,"具何種資格之外國人於取得業餘無線電人員執照後,得比照本國業餘無線電人員申設業餘電臺",(1) 取得我國居留證明,(2) 參加我國舉辦之業餘無線電研討會,(3) 取得我國簽證,(4) 取得我國大學學位
(1),94,固定式業餘電臺,(1) 一人以設置一座為限,(2) 僅限設置一部,"(3) 得未經主管機關核可,當作中繼使用",(4) 不得申請設置備用無線電機
(2),95,"U/VHF 頻段行動式業餘電臺,其輸出功率不得超過",(1) 20 瓦特,(2) 25 瓦特,(3) 30 瓦特,(4) 35 瓦特
(2),96,"U/VHF 頻段業餘電臺,其輸出功率超過幾瓦特即需固定設置?",(1) 20 瓦特,(2) 25 瓦特,(3) 30 瓦特,(4) 35 瓦特
(1),97,50 百萬赫頻段以下之業餘電機，其輸出功率在幾瓦特以下得申請行動式業餘無線電臺？,(1) 50 瓦特,(2) 60 瓦特,(3) 75 瓦特,(4) 100 瓦特
(1),98,50 百萬赫頻段以下之業餘無線電機，其輸出功率在幾瓦特以上需申請固定式業餘電臺？,(1) 50 瓦特,(2) 60 瓦特,(3) 75 瓦特,(4) 100 瓦特
(4),99,"三等業餘無線電人員在使用 U/VHF 頻段之行動式業餘電臺時,在電臺功能允許下,得採何種發射方式?",(1) 電報發射,(2) 電話發射,(3) 影像發射,(4) 以上皆是
(4),100,"三等業餘無線電人員操作業餘電臺時,在電臺功能允許下可採何種發射方式",(1) 電話,(2) 數據,(3) 影像,(4) 以上皆是
(4),101,"違反業餘無線電人員及電臺管理辦法第四條有關業餘無線電人員之規定者,應依電信管理法相關規定處新臺幣一萬元以上多少元以下罰鍰?",(1) 四萬元,(2) 五萬元,(3) 三萬元,(4) 十萬元
(3),102,"業餘無線電人員申請固定式業餘電臺設置時,應填具業餘電臺設置申請書一份,並檢附業餘無線電人員執照影本及業餘無線電機認證證明等文件,向下列那單位申請?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 主管機關,(4) 內政部
(2),103,"業餘無線電人員向主管機關申請設置固定式業餘電臺時,所領得之電臺設置核准有效期間為",(1) 三個月,(2) 六個月,(3) 一年,(4) 五年
(3),104,"業餘無線電人員於取得固定式業餘電臺設置核准後,應於電臺設置核准有效期間內完成電臺設置,並於完成後,向下列那一單位申請審驗?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 主管機關,(4) 內政部
(3),105,"業餘無線電人員申請行動式業餘電臺執照時,應填具行動式業餘無線電臺執照申請書一份,並檢附業餘無線電人員執照影本及備妥業餘無線電機,向下列那一單位申請核發行動式業餘電臺執照?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 主管機關,(4) 內政部
(4),106,"業餘無線電人員向主管機關申請固定式業餘電臺設置時,應檢附什麼資料?","(1) 採經型式認證合格之業餘無線電機設置者,應檢附業餘無線電機型式認證證明或文件影本:採非經型式認證電機者,檢附相關技術規格資料影本等",(2) 固定式業餘電臺設置申請書,(3) 業餘無線電人員執照影本,(4) 以上皆是
(3),107,"業餘電臺執照有效期間為 10 年,執照所有人應於期限屆滿前 6 個月起5 個月內,向下列那一單位申請換發執照?",(1) 當地業餘無線電團體,(2) 當地公路監理站(所),(3) 主管機關,(4) 內政部
(4),108,業餘無線電機設備或固定式業餘電臺設置地點變更時,(1) 不必申請即可逕行變更使用,(2) 應通知當地戶政事務所變更原始登記事項後使用,(3) 應向內政部申請異動,"(4) 應填具電臺異動申請書,向主管機關申請,經審驗合格,換發電臺執照後,始得使用"
(1),109,業餘電臺設置天線不得違反內政部、國防部、交通部會銜發布之航空站飛行場助航設備四周,(1) 禁止限制建築物及其他障礙物高度管理辦法之規定,(2) 禁止、限制輻射辦法之規定,(3) 禁止、限制發射辦法之規定,(4) 禁止、限制開發辦法之規定
(4),110,"為避免危及公共安全,業餘電臺設置之天線結構應與高壓電線保持安全距離,下列那種情形,應具有航空色標及標識燈具",(1) 天線高度超過地平面 10 公尺者,(2) 天線高度超過地平面 30 公尺者,(3) 天線高度超過海平面 60 公尺者,(4) 天線高度超過地平面 60 公尺者
(2),111,"業餘電臺呼號之第一字元使用英文字母Ｂ,呼號之第二字元優先由英文字母Ｍ、Ｎ、Ｏ、Ｐ、Ｑ、Ｕ、Ｖ、Ｗ及Ｘ內選配,呼號之第三字元使用一個阿拉伯數字,除了數字０外,其他數字用以代表",(1) 業餘電臺之所有人,(2) 業餘電臺所在之縣、市,(3) 業餘電臺所在之省份,(4) 業餘電臺所在之國家
(2),112,"業餘無線電臺之呼號,由電信監理資訊系統自動產生",(1) 任何人員皆得要求指配特定呼號,(2) 任何人員皆不得要求指配特定呼號,(3) 得指配特定呼號予非業餘無線電人員,(4) 必要時得敘明理由要求指配特定呼號
(1),113,"業餘無線電人員取得較高等級之資格後,原設置之業餘電臺","(1) 得申請改配呼號,惟原呼號不得再使用",(2) 不得申請改配呼號,(3) 得申請增配呼號,"(4) 於設置地點變更時,始得申請改配呼號"
(3),114,"某業餘無線電臺之呼號為 BX2A,表示該電臺為設置於中華民國",(1) 離島地區之二等業餘電臺,(2) 苗栗、臺中地區之二等業餘電臺,(3) 臺北地區之業餘中繼電臺,(4) 臺北地區之三等業餘電臺
(1),115,"某業餘無線電臺之呼號為 BV9P,表示該電臺為設置於中華民國",(1) 離島地區之特殊業餘電臺,(2) 苗栗、臺中地區之三等業餘電臺,(3) 臺北地區之業餘中繼電臺,(4) 臺北地區之一等業餘電臺
(2),116,"某業餘無線電臺之呼號為 BV5VA,表示該電臺為設置於中華民國",(1) 離島地區之二等業餘電臺,(2) 彰化、南投、雲林地區之一等業餘電臺,(3) 臺北地區之一等業餘電臺,(4) 臺北地區之特殊業餘電臺
(4),117,"某業餘無線電臺之呼號為 BX7AA,表示該電臺為設置於中華民國",(1) 離島地區之二等業餘電臺,(2) 彰化、南投、雲林地區之二等業餘電臺,(3) 臺北地區之一等業餘電臺,(4) 高雄地區之一等業餘電臺
(3),118,"某業餘無線電臺之呼號為 BV8AAA,表示該電臺為設置於中華民國",(1) 離島地區之二等業餘電臺,(2) 彰化、南投、雲林地區之二等業餘電臺,(3) 屏東、花蓮、臺東地區之三等業餘電臺,(4) 高雄地區之一等業餘電臺
(2),119,"某業餘無線電臺之呼號為 BX4AAA,表示該電臺為設置於中華民國",(1) 離島地區之三等業餘電臺,(2) 苗栗、臺中地區之二等業餘電臺,(3) 屏東、花蓮、臺東地區之三等業餘電臺,(4) 高雄地區之一等業餘電臺
(4),120,"某業餘無線電臺之呼號為 BV3AAA,表示該電臺為設置於中華民國",(1) 離島地區之三等業餘電臺,(2) 苗栗、臺中地區之一等業餘電臺,(3) 屏東、花蓮、臺東地區之二等業餘電臺,(4) 桃園、新竹地區之三等業餘電臺
(2),121,"某業餘無線電臺之呼號為 BV6WAD,表示該電臺為設置於中華民國",(1) 離島地區之三等業餘電臺,(2) 嘉南地區之三等業餘電臺,(3) 屏東、花蓮、臺東地區之一等業餘電臺,(4) 桃竹地區之二等業餘電臺
(3),122,"某業餘無線電臺之呼號為 BX1AAA,表示該電臺為設置於中華民國",(1) 離島地區之三等業餘電臺,(2) 嘉南地區之三等業餘電臺,(3) 基宜地區之二等業餘電臺,(4) 桃竹地區之一等業餘電臺
(4),123,"業餘電臺於語音通信時,呼號應使用",(1) 國語,(2) 國語或臺語,(3) 國語或臺語或英語,(4) 英語或國際無線電規則規定之英語識別代字
(2),124,"業餘無線電人員在其資格等級以上之業餘電臺作業時,得以所在電臺之呼號作業。若在較低等級之電臺作業時,則應於所在電臺之呼號後以甚麼符號字元分隔再加上作業人員本人之電臺呼號,予以識別",(1) 分號,(2) 斜線,(3) 逗點,(4) 空白
(1),125,"業餘電臺於初次建立通信或通信完畢時,均應報明呼號,通信中每隔多少時間或更短期間應報呼號一次",(1) 十分鐘,(2) 二十分鐘,(3) 三十分鐘,(4) 四十分鐘
(3),126,"可放大射頻功率,不屬發射機原始設計內之組件,但可與發射機連結使用而加大發射之輸出功率之裝置稱為",(1) 龜殼花,(2) 射頻增幅器,(3) 外接射頻功率放大器,(4) 減波器
(3),127,業餘電臺設備之輸出功率及工作頻段,(1) 無任何規範,(2) 應符合美國聯邦通信委員會之業餘無線電技術標準,(3) 應符合我國業餘無線射頻電機技術規範之規定,(4) 應符合日本國郵政省業餘無線電技術規範之規定
(3),128,在業餘無線電人員及電臺管理辦法所採用之發射功率計量方法有,(1) 輸出功率(output power),(2) 輸出功率及有效輻射功率(ERP)二種,(3) 輸出功率、有效輻射功率及等效全向輻射功率(EIRP)三種,(4) 輸入功率
(1),129,業餘無線電機屬?,(1) 需電臺執照之電信管制射頻器材,(2) 不需電臺執照之電信管制射頻器材,(3) 刀械彈藥管制器材,(4) 烹飪器材
